frame,x,y,z
1,0.04969169,0.4885941,-0.363782
2,0.05049292,0.4871852,-0.3642073
3,0.05114134,0.4866472,-0.3644599
4,0.05163567,0.485401,-0.3644662
5,0.05219831,0.483925,-0.3645255
6,0.05283157,0.4824235,-0.3645562
7,0.05335706,0.4764989,-0.364186
8,0.05399545,0.4729893,-0.363993
9,0.05478433,0.4673728,-0.3635724
10,0.0555604,0.4619316,-0.3629276
11,0.05631203,0.4567877,-0.3624182
12,0.05746964,0.4511296,-0.3616331
13,0.05837091,0.4456429,-0.3609756
14,0.05914501,0.4434217,-0.360304
15,0.06008319,0.4401974,-0.3593673
16,0.06121479,0.4387943,-0.3582351
17,0.06234396,0.4364834,-0.3574151
18,0.06372395,0.4349253,-0.3570949
19,0.06509643,0.4327881,-0.3574511
20,0.06644966,0.4315429,-0.3575339
21,0.06721672,0.4391295,-0.3578267
22,0.0677775,0.44344,-0.3571382
23,0.06871238,0.4467307,-0.3568395
24,0.06831872,0.4510226,-0.3566028
25,0.0689111,0.454581,-0.3566234
26,0.06864463,0.4583303,-0.357171
27,0.06886493,0.4629677,-0.3575594
28,0.06898094,0.4679349,-0.3576839
29,0.06880848,0.473572,-0.3578009
30,0.06816797,0.4790604,-0.3577374
31,0.06771854,0.482992,-0.3582251
32,0.06745457,0.4851843,-0.3594255
33,0.06746004,0.4870242,-0.3605787
34,0.06739656,0.4890604,-0.3616531
35,0.06727881,0.4911684,-0.3626814
36,0.06705659,0.488294,-0.3635796
37,0.06686653,0.4880846,-0.3645525
38,0.06629898,0.4853413,-0.3649122
39,0.06595828,0.4833753,-0.3655186
40,0.06557083,0.4796226,-0.3656947
41,0.06517407,0.4750831,-0.3657841
42,0.06488062,0.4699516,-0.365943
43,0.06438151,0.4656801,-0.3660351
44,0.06384777,0.4610981,-0.3661124
45,0.06298002,0.4554924,-0.3662075
46,0.0622712,0.450274,-0.3664095
47,0.06133197,0.4481142,-0.3669845
48,0.05960634,0.4410074,-0.3675681
49,0.05873487,0.4376888,-0.3679043
50,0.05688831,0.4396749,-0.3677169
51,0.05540993,0.4377265,-0.3679069
52,0.05439989,0.4376644,-0.3691631
53,0.05336255,0.4378989,-0.369946
54,0.05219634,0.4447767,-0.3703092
55,0.05126865,0.4449029,-0.3699951
56,0.05035378,0.4480623,-0.3716631
57,0.04937275,0.4511507,-0.3720585
58,0.04831438,0.4542808,-0.3727828
59,0.04829086,0.4595138,-0.3740411
60,0.04779124,0.4640848,-0.3749391
61,0.04746807,0.4696158,-0.3755554
62,0.04705083,0.4759079,-0.3761836
63,0.04664177,0.481455,-0.3769344
64,0.04760277,0.4835647,-0.3771461
65,0.04802087,0.4866989,-0.3779562
66,0.04810017,0.4904038,-0.378633
67,0.04861099,0.4894526,-0.3795271
68,0.0488514,0.4907422,-0.3802175
69,0.04942371,0.48828,-0.3806968
70,0.0498629,0.4878067,-0.3812314
71,0.05030513,0.4866517,-0.3816947
72,0.05100277,0.4809446,-0.3811378
73,0.05149717,0.4780637,-0.3813584
74,0.05205239,0.4734496,-0.3813067
75,0.05298273,0.4680094,-0.3811182
76,0.05364395,0.4635455,-0.381124
77,0.05441904,0.4574898,-0.381189
78,0.05551483,0.4521818,-0.3810996
79,0.05712194,0.4480515,-0.3810292
80,0.05861133,0.4453318,-0.3807224
81,0.06013422,0.4434211,-0.3802649
82,0.06184437,0.4411559,-0.3798261
83,0.06381749,0.4406334,-0.3793133
