frame,x,y,z
1,0.1281818,0.6724237,-0.2775857
2,0.1302261,0.6744974,-0.2769109
3,0.1323137,0.6762826,-0.2772143
4,0.1340839,0.6778305,-0.2776162
5,0.1370748,0.6848972,-0.2765436
6,0.1391757,0.6888159,-0.2762581
7,0.141807,0.695274,-0.2744323
8,0.1446235,0.7014501,-0.2724232
9,0.1474988,0.7091839,-0.2690861
10,0.1499819,0.7167748,-0.2662196
11,0.1526767,0.7240632,-0.2637355
12,0.1546589,0.7281242,-0.262214
13,0.1570402,0.7340962,-0.2601931
14,0.1593129,0.7363162,-0.2566299
15,0.1615722,0.7399848,-0.2537824
16,0.1621429,0.737645,-0.2524284
17,0.1626304,0.7350832,-0.2522061
18,0.1635174,0.7336916,-0.2512789
19,0.1625775,0.726177,-0.2540532
20,0.1619746,0.7201648,-0.2563636
21,0.1607154,0.7134042,-0.2577342
22,0.1589758,0.7063112,-0.2593147
23,0.1573831,0.6992609,-0.2615425
24,0.1557374,0.6920909,-0.26353
25,0.1515187,0.6859868,-0.2679241
26,0.1486898,0.680846,-0.2711674
27,0.1459714,0.6744552,-0.2742375
28,0.1428133,0.6751596,-0.276019
29,0.139757,0.6712541,-0.2788214
30,0.1373251,0.6743939,-0.2797236
31,0.1347234,0.6752632,-0.2812268
32,0.1320133,0.6826583,-0.2802054
33,0.1292817,0.687398,-0.2794018
34,0.1265966,0.6927443,-0.2777656
35,0.1243108,0.6980625,-0.2764045
36,0.1222458,0.7047418,-0.2737809
37,0.1203948,0.7116041,-0.2709632
38,0.1187182,0.7186454,-0.2681692
39,0.1168211,0.7256359,-0.2655073
40,0.1156725,0.7288544,-0.2620715
41,0.1138658,0.7340298,-0.2588977
42,0.1133472,0.7333152,-0.256494
43,0.1126778,0.734711,-0.2540083
44,0.1117167,0.7371093,-0.2512673
45,0.1138665,0.7263572,-0.2543013
46,0.1140489,0.7237396,-0.2538171
47,0.1152413,0.7149951,-0.2590964
48,0.1157893,0.7091821,-0.2605904
49,0.1163395,0.7017281,-0.2610272
50,0.11684,0.6948276,-0.2622531
51,0.1170339,0.6874692,-0.2641464
52,0.1177859,0.6812881,-0.2662
53,0.11835,0.6742901,-0.268017
54,0.1205626,0.6727039,-0.268401
55,0.1223434,0.6724941,-0.2672387
56,0.1236459,0.6717775,-0.2668934
57,0.1249095,0.6722536,-0.2665748
58,0.1265577,0.6728693,-0.2662122
59,0.1279722,0.6727475,-0.2659093
60,0.1320638,0.6826416,-0.2642248
61,0.1342339,0.6861784,-0.2632904
62,0.1373372,0.6942199,-0.2604914
63,0.1401264,0.7007761,-0.2582157
64,0.1435627,0.7090448,-0.2554327
65,0.1467082,0.715018,-0.253041
66,0.1531713,0.7284226,-0.2483374
67,0.1558882,0.7324701,-0.2463123
68,0.1582939,0.734381,-0.2443867
69,0.1610556,0.7378976,-0.2422771
70,0.1620535,0.7344494,-0.2414192
71,0.1635513,0.7333589,-0.2406876
72,0.1640685,0.7280558,-0.2419282
73,0.164181,0.7213653,-0.244403
74,0.1648778,0.7165779,-0.2456864
75,0.1642605,0.7073197,-0.2489078
76,0.1626012,0.6924886,-0.253641
77,0.1613829,0.6849549,-0.2560671
78,0.1590599,0.678981,-0.2577633
79,0.1565833,0.6737311,-0.2595198
80,0.1543126,0.6680177,-0.261614
81,0.1512841,0.6680186,-0.2629465
82,0.1486276,0.666514,-0.2641855
83,0.1455534,0.6675791,-0.2648185
84,0.1427697,0.6723971,-0.2653239
85,0.139993,0.6758466,-0.2657233
86,0.1369198,0.6838597,-0.2633112
87,0.1343855,0.6904033,-0.2616511
88,0.1316553,0.6964961,-0.2605503
89,0.1290936,0.7030208,-0.2590727
90,0.1269336,0.7098127,-0.2566405
91,0.1244835,0.7167794,-0.2547432
92,0.1232619,0.7212126,-0.250487
93,0.1212593,0.7269018,-0.2478773
94,0.1203548,0.725541,-0.2460862
95,0.1192727,0.726822,-0.2440735
96,0.1197801,0.7224762,-0.2441622
97,0.1195829,0.719882,-0.2438853
98,0.1202885,0.7136921,-0.2464638
99,0.1214242,0.7080449,-0.2491939
100,0.122191,0.7023974,-0.2508597
101,0.1234483,0.6953176,-0.2525615
102,0.1241241,0.6882158,-0.2544336
103,0.1251157,0.6810499,-0.2565059
104,0.1263891,0.6760274,-0.2587822
105,0.1279038,0.6719792,-0.2602164
106,0.1291889,0.6661218,-0.2622185
107,0.1305888,0.6683655,-0.2632886
108,0.1337962,0.6675214,-0.2643725
109,0.1355666,0.6685576,-0.2647147
110,0.1373335,0.6691474,-0.2651807
111,0.1399083,0.6776362,-0.2632831
112,0.1419104,0.6812729,-0.2628464
113,0.1439035,0.6888612,-0.2602545
114,0.1462126,0.6950603,-0.2586047
115,0.1485383,0.7025459,-0.2552798
116,0.1507628,0.7093725,-0.253087
117,0.1523943,0.7144589,-0.2507798
118,0.1543523,0.7189423,-0.2488645
119,0.1563119,0.7243216,-0.2467851
120,0.1573992,0.7237421,-0.2457462
121,0.1586746,0.7257877,-0.244353
122,0.1599215,0.7277391,-0.2428792
123,0.158136,0.7189545,-0.2464798
124,0.158334,0.7169377,-0.2469087
125,0.1574311,0.7114556,-0.2504076
126,0.1565862,0.7059274,-0.2529506
127,0.1557996,0.7008655,-0.2547264
128,0.1524975,0.6922604,-0.2575077
129,0.1490018,0.679157,-0.2625088
130,0.1447403,0.6761376,-0.2644742
131,0.1420426,0.6704561,-0.266968
132,0.1388222,0.6704576,-0.2701427
133,0.1358928,0.6671772,-0.2728468
134,0.1331575,0.6711751,-0.2725899
135,0.1303064,0.6737835,-0.2731754
136,0.1274528,0.6801217,-0.2725771
137,0.1245319,0.6845407,-0.2713732
138,0.1217326,0.6896307,-0.2708602
139,0.1193761,0.6960056,-0.2688683
140,0.1169792,0.7011551,-0.2660255
141,0.1145047,0.7069273,-0.264036
142,0.1127841,0.7146939,-0.2594144
143,0.1108768,0.7209145,-0.2558979
144,0.1091733,0.7255883,-0.2519022
145,0.1076068,0.7276719,-0.2482112
146,0.1068148,0.728606,-0.2444119
147,0.1060809,0.7280414,-0.240941
148,0.1057996,0.7264876,-0.238394
149,0.1066364,0.7180625,-0.2406173
150,0.1069649,0.7130736,-0.2412578
151,0.108224,0.7066662,-0.2438057
152,0.1089382,0.7003802,-0.2447131
153,0.1110853,0.6884138,-0.2479741
154,0.1137723,0.6759889,-0.2518482
155,0.1149631,0.6795868,-0.2509963
156,0.1173811,0.6762964,-0.251406
157,0.1194671,0.6719091,-0.2527345
158,0.1219507,0.6727837,-0.2539004
159,0.124238,0.6707807,-0.2548207
160,0.1266268,0.6730064,-0.256021
161,0.1292696,0.6747892,-0.2569089
162,0.1319282,0.675871,-0.257934
163,0.1350008,0.6855845,-0.2561855
164,0.1377733,0.6899406,-0.2561561
165,0.1404842,0.6984706,-0.2531453
166,0.1431834,0.7050164,-0.2517883
167,0.1458617,0.711677,-0.2492452
168,0.1483563,0.7172517,-0.2476976
169,0.1508676,0.7234114,-0.2460271
170,0.153433,0.7299579,-0.2442416
171,0.1551909,0.7273529,-0.2432071
172,0.1572149,0.729562,-0.2415649
173,0.1583434,0.7271792,-0.2411217
174,0.1594027,0.7256509,-0.2406756
175,0.159483,0.7209523,-0.2416891
