frame,x,y,z
1,0.2393811,0.8286343,0.2835895
2,0.2405273,0.8255314,0.280772
3,0.2419213,0.8188432,0.2791283
4,0.2430336,0.8143309,0.2766027
5,0.2442032,0.8081607,0.2749226
6,0.2458307,0.8021482,0.2731925
7,0.2489379,0.7908397,0.2700636
8,0.2504736,0.7860972,0.2692118
9,0.2518792,0.7816421,0.268523
10,0.253296,0.7768374,0.2677752
11,0.2544639,0.7737862,0.2678495
12,0.2555332,0.7707639,0.2676675
13,0.2563331,0.7694524,0.268154
14,0.2569683,0.7692786,0.2690372
15,0.2577734,0.7680067,0.2695938
16,0.2574489,0.7715111,0.2711005
17,0.2573822,0.7736894,0.2723151
18,0.2573716,0.7756425,0.2734966
19,0.256108,0.7810902,0.2753496
20,0.2548698,0.7865822,0.2769852
21,0.2535557,0.7919842,0.2785718
22,0.2522245,0.7972885,0.2801762
23,0.2501259,0.8033019,0.281745
24,0.2477409,0.8091597,0.2832642
25,0.2449761,0.8147622,0.2845879
26,0.2419259,0.8199967,0.2858267
27,0.2389983,0.8255426,0.2871507
28,0.2351543,0.8295186,0.2880994
29,0.2316613,0.8332066,0.2892687
30,0.2280972,0.8363629,0.2904688
31,0.2245721,0.8380674,0.2919011
32,0.2210402,0.840487,0.2932113
33,0.2184511,0.8389236,0.2951854
34,0.2155251,0.838488,0.2969131
35,0.2132861,0.8355429,0.2990693
36,0.2106851,0.8332421,0.3010926
37,0.208267,0.8294571,0.3033218
38,0.2059743,0.8252336,0.3052793
39,0.2037251,0.8208007,0.3072779
40,0.2014727,0.8161882,0.309284
41,0.2008157,0.8078417,0.3115572
42,0.1993288,0.8018233,0.3137102
43,0.1997437,0.7957516,0.3156399
44,0.1994348,0.7896895,0.3176028
45,0.1989838,0.7835374,0.3196549
46,0.2001006,0.781745,0.3204965
47,0.2001961,0.7794231,0.3212269
48,0.2010745,0.7779108,0.3218514
49,0.2017785,0.7757532,0.3227538
50,0.2037556,0.7767581,0.3229638
51,0.2051388,0.7765284,0.3234065
52,0.2068778,0.7788622,0.3233374
53,0.2084807,0.7818271,0.3229434
54,0.2101322,0.7839575,0.3227565
55,0.2116527,0.788702,0.3217412
56,0.2133153,0.7924805,0.3212002
57,0.2145098,0.7976292,0.3197339
58,0.2155901,0.8030669,0.318036
59,0.2166159,0.8084338,0.316259
60,0.2175476,0.8139345,0.3142341
61,0.2185503,0.8194426,0.3123729
62,0.2189156,0.8248155,0.3096759
63,0.2192554,0.8299344,0.3070764
64,0.2199067,0.8352595,0.3047485
65,0.219843,0.8386972,0.3020248
66,0.2200303,0.8426444,0.2994564
67,0.2200597,0.8442259,0.2969154
68,0.2202158,0.8470855,0.2944228
69,0.220162,0.8464042,0.2919548
70,0.2203994,0.8446046,0.2897743
71,0.2204918,0.8442917,0.2873436
72,0.2212004,0.8385973,0.2857297
73,0.221716,0.8348541,0.2836791
74,0.2221693,0.831486,0.2815503
75,0.2228652,0.8241754,0.2802928
76,0.2233932,0.8188814,0.2785113
