frame,x,y,z
1,0.05580521,0.4877142,0.2613921
2,0.05586537,0.4916092,0.2622557
3,0.05678668,0.4859091,0.2585939
4,0.05778326,0.4827154,0.2561434
5,0.05866317,0.4795567,0.2541418
6,0.05937679,0.4747709,0.2521795
7,0.06004014,0.4697124,0.2504376
8,0.06042692,0.4633701,0.2485623
9,0.06066386,0.4577855,0.2465602
10,0.06041612,0.4501506,0.2459208
11,0.06061437,0.4434735,0.2443253
12,0.06047773,0.4386598,0.2443381
13,0.06039666,0.4353489,0.2445882
14,0.06031286,0.4304214,0.2442323
15,0.05978636,0.4306461,0.2449468
16,0.05909276,0.429731,0.2456256
17,0.05853442,0.427904,0.2460934
18,0.05436081,0.4349248,0.2501511
19,0.05216226,0.4381381,0.2510997
20,0.05022336,0.4420916,0.2515827
21,0.04865723,0.4461556,0.2521088
22,0.04677767,0.4500402,0.2530016
23,0.04793137,0.4586966,0.2525064
24,0.047009,0.464521,0.2527252
25,0.04613955,0.4727958,0.2549681
26,0.04539853,0.4798014,0.2559703
27,0.04655274,0.4841537,0.2560955
28,0.04650842,0.4904734,0.2567443
29,0.04818113,0.4908723,0.2556897
30,0.04963485,0.4914934,0.2547113
31,0.0510419,0.4923331,0.253668
32,0.05223845,0.4942345,0.2530183
33,0.05465946,0.4862341,0.2500747
34,0.05604081,0.4809805,0.2483995
35,0.05764956,0.4749154,0.2466163
36,0.05923335,0.4689606,0.2447824
37,0.0608741,0.4627782,0.2429329
38,0.0628149,0.4533322,0.2422055
39,0.06470188,0.4458902,0.2408005
40,0.06671003,0.44129,0.2413626
41,0.06843192,0.4366154,0.2414559
42,0.07018658,0.4316223,0.241427
43,0.0712326,0.4346854,0.2419114
44,0.07276674,0.4330033,0.2422337
45,0.07493158,0.4371624,0.2442083
46,0.07708072,0.4396378,0.2458035
47,0.07900598,0.4411765,0.2470779
48,0.08056017,0.4478837,0.2488307
49,0.0821736,0.4541784,0.2511864
50,0.08389083,0.4602888,0.2540089
51,0.08559625,0.4663406,0.2566366
52,0.08739392,0.4725821,0.259387
53,0.08817763,0.4784874,0.2638015
54,0.08961519,0.4847801,0.2670621
55,0.09051789,0.4838905,0.2703802
56,0.09162678,0.4863794,0.273619
57,0.0928028,0.4886894,0.2768102
58,0.09355995,0.4816231,0.2774583
59,0.09495573,0.4786042,0.2787754
60,0.09640759,0.474062,0.2794349
61,0.097796,0.4699574,0.2802998
62,0.09910499,0.4638714,0.2800045
63,0.09950823,0.4579726,0.2801479
64,0.100258,0.4468718,0.2799823
65,0.1005424,0.4411875,0.2798364
66,0.1008545,0.4355933,0.2797723
67,0.0991377,0.4327322,0.2783485
68,0.0987323,0.4280963,0.2775692
69,0.09654273,0.4287336,0.274756
70,0.09538594,0.4264796,0.2732933
71,0.09272186,0.4303268,0.2719673
72,0.09018072,0.4322882,0.2709405
73,0.08670199,0.4367434,0.2704757
74,0.08293389,0.4427333,0.2701186
75,0.07980151,0.4470974,0.2692881
76,0.07716682,0.4535517,0.2680893
77,0.07438536,0.4593999,0.2672284
78,0.07187144,0.4658117,0.2664417
79,0.06915948,0.4722178,0.2656181
80,0.06699733,0.478178,0.2650357
81,0.06484373,0.4830964,0.2643931
82,0.06027004,0.4940389,0.2628428
83,0.05931459,0.4910127,0.2605887
84,0.05748522,0.4937209,0.2593253
85,0.05682377,0.4874905,0.256506
86,0.05554442,0.4858461,0.2545617
87,0.05424439,0.4846186,0.2526501
88,0.05419599,0.4739379,0.2498526
89,0.05412282,0.4664931,0.2469074
90,0.05447457,0.4591985,0.2443819
91,0.05432366,0.4523133,0.2420158
92,0.05506492,0.4452403,0.2409162
93,0.05553722,0.4386241,0.2392266
94,0.05647521,0.4359984,0.2389321
95,0.05713834,0.4313141,0.2381949
96,0.0577033,0.4298542,0.2381933
97,0.05894335,0.4292555,0.2377322
98,0.0603409,0.4294789,0.2376637
99,0.06133679,0.4283864,0.2375248
100,0.06391566,0.4360841,0.2387328
101,0.06565356,0.4400428,0.2395665
102,0.06725963,0.4431542,0.2402177
103,0.06922947,0.4520665,0.2420024
104,0.07283769,0.4652157,0.245354
105,0.07453973,0.471984,0.2470852
106,0.07609307,0.4781078,0.2491261
107,0.07743275,0.4825705,0.2510036
108,0.07872308,0.4879786,0.252747
109,0.07979527,0.4859868,0.2530046
110,0.08104976,0.4888761,0.2542452
111,0.08213432,0.4863334,0.2541669
112,0.08321055,0.483452,0.2536616
113,0.08432049,0.4825743,0.253892
114,0.0852849,0.4770978,0.2523192
115,0.08612547,0.472105,0.2501857
116,0.08657539,0.4666895,0.2476709
117,0.08700937,0.4616714,0.245837
118,0.08613946,0.456666,0.243855
119,0.08547129,0.4520896,0.2417957
120,0.0850208,0.4475231,0.2396648
121,0.08429217,0.4430049,0.2376295
122,0.08211318,0.4426704,0.2351782
123,0.07945056,0.4416702,0.2323497
124,0.07664689,0.4418806,0.2299494
125,0.07429671,0.441445,0.2275924
126,0.07029236,0.4446996,0.2262998
127,0.06607464,0.4489348,0.2244716
128,0.06247677,0.4516793,0.2223972
129,0.05806651,0.4575865,0.2187311
130,0.05430849,0.4619518,0.2159122
131,0.05092482,0.4676514,0.2129646
132,0.04721349,0.4732747,0.2104895
133,0.04339107,0.4786408,0.2077837
134,0.0399986,0.4822614,0.2051772
135,0.03661985,0.4849936,0.2024055
136,0.03331667,0.4863579,0.1996942
137,0.03005899,0.4871121,0.1970499
138,0.02685932,0.4887581,0.1943706
139,0.02413946,0.4836339,0.1914285
140,0.0213132,0.4821402,0.1885478
141,0.01981171,0.4739021,0.1852326
142,0.01790314,0.4663758,0.1823164
143,0.01571602,0.4608066,0.1794972
144,0.01472786,0.4509655,0.1770734
145,0.01274861,0.4430054,0.1744288
146,0.01094476,0.4351217,0.1718628
147,0.008743202,0.4278225,0.1707762
148,0.00783311,0.4247243,0.1705074
149,0.006841466,0.4202324,0.1697924
150,0.007106556,0.419524,0.1704311
151,0.007143036,0.4190653,0.1708322
152,0.006873505,0.4182117,0.1712657
153,0.007977676,0.4221303,0.1723123
154,0.0087974,0.4250273,0.1733443
155,0.009399608,0.427476,0.1743354
156,0.01076634,0.4362401,0.1766666
157,0.01170334,0.4414968,0.1782812
158,0.01272676,0.4473794,0.1813027
159,0.01415974,0.4530359,0.1840876
160,0.01552818,0.4587314,0.1875987
161,0.01675266,0.4633028,0.1915692
162,0.01837544,0.4672084,0.195366
163,0.01991968,0.4702247,0.1988175
164,0.02157801,0.4733413,0.2024639
165,0.02314907,0.4720586,0.2058548
166,0.02465103,0.4723975,0.2095113
167,0.0260165,0.468867,0.2126977
168,0.02767247,0.4650486,0.2150672
169,0.02929587,0.4623176,0.2180724
170,0.03213671,0.4555095,0.2182074
171,0.03457319,0.4499981,0.2193471
172,0.03752173,0.4433609,0.2197864
173,0.03978399,0.4370023,0.2201379
174,0.04218519,0.4308507,0.2208435
175,0.04248182,0.4277478,0.2220582
176,0.04501528,0.4197168,0.222796
177,0.04620807,0.4159756,0.222745
178,0.04591051,0.4162127,0.2218769
179,0.04623569,0.4144662,0.2212681
180,0.04637307,0.4136273,0.2208913
181,0.04397032,0.4217644,0.2219753
182,0.04317415,0.4245105,0.2221217
183,0.04202862,0.4315494,0.2224921
184,0.04181951,0.4373884,0.2222098
185,0.04146827,0.4437675,0.2226248
186,0.04004673,0.4563231,0.2234945
187,0.03939053,0.4627849,0.2239231
188,0.03873348,0.4692637,0.2243546
189,0.03958333,0.4690203,0.2244168
190,0.03969896,0.471568,0.2248987
191,0.03967929,0.4710833,0.2255576
192,0.0395739,0.4726218,0.2261839
193,0.03915704,0.469024,0.2268535
194,0.03952995,0.4645523,0.2265683
