frame,x,y,z
1,0.0603034,-0.2337821,0.4401977
2,0.06417544,-0.2343269,0.4394314
3,0.06759033,-0.2347662,0.438689
4,0.07073446,-0.2351537,0.4380632
5,0.07694793,-0.236754,0.4371668
6,0.0813702,-0.237566,0.4364072
7,0.08756239,-0.2389933,0.4356488
8,0.09269069,-0.2401456,0.4348485
9,0.1002726,-0.2419212,0.4340833
10,0.1072053,-0.2432528,0.4333643
11,0.1133806,-0.2445738,0.4326115
12,0.121157,-0.2466049,0.4315706
13,0.1281739,-0.2483344,0.4306928
14,0.1368332,-0.2510839,0.4296867
15,0.1461193,-0.2535879,0.428832
16,0.1545552,-0.2558849,0.4278437
17,0.1691788,-0.259367,0.4268019
18,0.1800728,-0.2621195,0.4257993
19,0.1895791,-0.2648831,0.4248094
20,0.2036853,-0.2651238,0.4240625
21,0.215331,-0.2664861,0.4229732
22,0.2274736,-0.2680639,0.4220587
23,0.2396455,-0.269856,0.4210167
24,0.2542386,-0.270255,0.4200956
25,0.2676981,-0.27114,0.4191976
26,0.2876548,-0.2706346,0.4180271
27,0.3057249,-0.2705267,0.4169161
28,0.3199103,-0.2706771,0.4159409
29,0.3352446,-0.2704788,0.4149421
30,0.3499277,-0.2698766,0.4140164
31,0.3645396,-0.2695373,0.4130852
32,0.3779934,-0.2677303,0.412552
33,0.3926238,-0.2668277,0.4118072
34,0.4087972,-0.265523,0.4111913
35,0.4230368,-0.2645014,0.4105304
36,0.4365733,-0.2632675,0.4098541
37,0.4497687,-0.2624672,0.4091077
38,0.4632549,-0.2614528,0.4083579
39,0.4756248,-0.2603291,0.4079413
40,0.4876476,-0.2590937,0.4075723
41,0.499766,-0.2580711,0.4070556
42,0.5118231,-0.2571312,0.4066171
43,0.5242147,-0.2559659,0.4062822
44,0.5362148,-0.2548281,0.4060185
45,0.5587231,-0.253626,0.4051704
46,0.5808889,-0.2527482,0.4043813
47,0.5913802,-0.2522806,0.4039395
48,0.6019672,-0.2518532,0.4035947
49,0.6121315,-0.2514407,0.4038023
