frame,x,y,z
1,0.2028439,0.8391719,0.2962597
2,0.2027932,0.8402576,0.2948191
3,0.2035293,0.83573,0.2935151
4,0.2040059,0.8328392,0.2922295
5,0.2045125,0.8292284,0.2909098
6,0.2049278,0.8262652,0.2895745
7,0.2050858,0.8219134,0.2886837
8,0.2054531,0.8180404,0.2875655
9,0.2062114,0.8134431,0.2868074
10,0.2068329,0.8090177,0.2857687
11,0.207748,0.8045474,0.2851466
12,0.2086403,0.799906,0.2846236
13,0.2094911,0.7952789,0.2840785
14,0.2105718,0.7914144,0.28431
15,0.2114374,0.7875978,0.2843823
16,0.2121132,0.7841374,0.2847297
17,0.2129635,0.781229,0.2852713
18,0.2138788,0.778011,0.2855836
19,0.2147262,0.7763686,0.2863157
20,0.2155778,0.7751962,0.2870561
21,0.2164014,0.7733742,0.2876867
22,0.2167727,0.7752019,0.2889893
23,0.2174167,0.775005,0.2899379
24,0.2171818,0.777826,0.2910906
25,0.2168611,0.7801223,0.2921411
26,0.2164963,0.7828149,0.29309
27,0.2160659,0.7859231,0.2940322
28,0.2153078,0.7901296,0.2949358
29,0.2143459,0.794574,0.2957546
30,0.2135234,0.7989295,0.2966288
31,0.2127142,0.8032721,0.2974696
32,0.2112467,0.808695,0.2979022
33,0.2101528,0.8135811,0.2986083
34,0.2086396,0.8185475,0.298774
35,0.2072911,0.8232656,0.2990595
36,0.2060066,0.8270739,0.2990764
37,0.20484,0.8306645,0.2991527
38,0.2039438,0.8330883,0.2990233
39,0.2032067,0.8348092,0.2988598
40,0.2022906,0.8370753,0.2987495
41,0.201944,0.8356963,0.2986161
42,0.201246,0.8363779,0.2984492
43,0.200834,0.8343968,0.2982636
44,0.2001964,0.8324256,0.2980865
45,0.1995687,0.8300369,0.2979625
46,0.1990232,0.8267269,0.2980408
47,0.1985863,0.8237783,0.2981317
48,0.1977604,0.8184826,0.2987286
49,0.1972151,0.8137212,0.2994558
50,0.1967779,0.8085446,0.3002291
51,0.1963581,0.8035473,0.3008192
52,0.1959343,0.7984443,0.3015989
53,0.1963814,0.7947179,0.3022508
54,0.1968151,0.7871131,0.3028832
55,0.197254,0.7836167,0.3031699
56,0.1989486,0.7818072,0.3029729
57,0.2009914,0.7771684,0.3028114
58,0.2020047,0.7764353,0.3024535
59,0.2028136,0.7759474,0.3020368
60,0.2037938,0.7752778,0.3016278
61,0.2049495,0.7752222,0.3013522
62,0.2060285,0.7752402,0.3009807
63,0.2066281,0.7769888,0.300392
64,0.2071368,0.7785121,0.2998425
65,0.2072653,0.7815108,0.298723
66,0.2072651,0.7847763,0.2974866
67,0.2074033,0.787418,0.2967048
68,0.2069287,0.7919754,0.2957172
69,0.2067586,0.7955159,0.2948465
70,0.2061375,0.8003976,0.2936941
71,0.2054738,0.8050163,0.2924068
72,0.204978,0.8095655,0.291238
73,0.2044092,0.8142997,0.2900511
74,0.2037971,0.8190471,0.2888484
75,0.2031248,0.8237796,0.2874939
76,0.2025384,0.8280227,0.2861248
77,0.2021877,0.8317516,0.284805
78,0.2018672,0.8348286,0.2835424
79,0.2015779,0.8381487,0.2821386
80,0.2014234,0.8395513,0.2808554
81,0.2013544,0.8403087,0.2795095
82,0.2011662,0.8420343,0.2781416
83,0.2018284,0.8383104,0.277112
84,0.2021173,0.8369203,0.2759286
85,0.2023532,0.8334087,0.2747585
86,0.2025624,0.8311657,0.2734356
87,0.2023879,0.8271641,0.2723101
88,0.2028631,0.8227343,0.2713687
89,0.2031684,0.8187625,0.2702527
90,0.204061,0.8130555,0.2697254
91,0.2047713,0.8079333,0.2690848
92,0.2053851,0.8028733,0.2683501
93,0.2065213,0.7976575,0.2690638
94,0.2073957,0.7933245,0.2691286
95,0.2080814,0.7893171,0.2690033
96,0.2088874,0.7851012,0.2689306
97,0.2096895,0.7822506,0.2692908
98,0.2105238,0.7793457,0.2696545
99,0.2109946,0.7779039,0.2702445
100,0.2114816,0.7762487,0.2708184
101,0.2117671,0.7761037,0.2716585
102,0.2121769,0.7759495,0.2722088
103,0.2126143,0.7761993,0.2728582
104,0.2130057,0.7765004,0.2735582
