frame,x,y,z
1,-0.03270554,0.4901112,-0.3468409
2,-0.03373779,0.4892565,-0.3466997
3,-0.03479838,0.4883262,-0.3466591
4,-0.0358007,0.4874332,-0.3467489
5,-0.03680196,0.4873977,-0.3466806
6,-0.03786597,0.4884086,-0.3463628
7,-0.03916082,0.489773,-0.3450661
8,-0.04021116,0.4896364,-0.3449972
9,-0.0412379,0.4904332,-0.34464
10,-0.04173503,0.4949792,-0.3426439
11,-0.0423057,0.495979,-0.3415802
12,-0.04281826,0.496995,-0.3414805
13,-0.04317787,0.4981339,-0.3410476
14,-0.04281931,0.4976102,-0.3414839
15,-0.04219639,0.4974218,-0.342433
16,-0.04200209,0.4977032,-0.342698
17,-0.04179635,0.4979713,-0.3429758
18,-0.04136392,0.4982083,-0.3435994
19,-0.0411038,0.4984569,-0.3439553
20,-0.04084358,0.4987054,-0.3443113
21,-0.04058336,0.4989538,-0.3446673
22,-0.04032313,0.4992023,-0.3450233
23,-0.03537722,0.5098269,-0.3469732
24,-0.03450938,0.5114893,-0.3477141
25,-0.03395897,0.5117095,-0.3486513
26,-0.03173225,0.5149488,-0.351108
27,-0.03091204,0.5155938,-0.3515719
28,-0.0301575,0.5165259,-0.3523044
29,-0.02940303,0.5174572,-0.3530368
30,-0.02863889,0.5168156,-0.3532675
31,-0.02713225,0.5180979,-0.3545404
32,-0.02876596,0.514392,-0.3519045
33,-0.02833624,0.5122064,-0.3514225
34,-0.02802457,0.5114811,-0.3512917
35,-0.02771256,0.5107524,-0.3511598
36,-0.02817726,0.5098598,-0.3482699
37,-0.02789281,0.5080976,-0.3468905
38,-0.02660572,0.5040828,-0.3466279
39,-0.02234663,0.5043835,-0.3458632
40,-0.01742105,0.5020025,-0.3435867
41,-0.01547351,0.5014087,-0.342764
42,-0.01232324,0.5016854,-0.3411285
43,-0.005528315,0.5020326,-0.3373774
44,-0.003572655,0.5036523,-0.3364933
45,-0.001439623,0.506566,-0.3353215
46,0.001629736,0.5124537,-0.3318569
47,0.00322244,0.5145844,-0.3306258
48,0.004546244,0.5143758,-0.3312783
49,0.005813097,0.5157618,-0.3310481
50,0.006972816,0.5169574,-0.3316045
51,0.007926278,0.5186039,-0.3319986
52,0.008751735,0.5211349,-0.3319243
53,0.009429605,0.5237142,-0.3316374
54,0.01021593,0.5258358,-0.3316512
55,0.01040796,0.5271518,-0.3325247
56,0.01100734,0.5291603,-0.332987
57,0.01127198,0.5306901,-0.333624
58,0.01178644,0.531985,-0.3342737
59,0.01218557,0.5328638,-0.3350883
60,0.01263644,0.533412,-0.336014
61,0.01306814,0.5340515,-0.3369025
62,0.01348152,0.5347691,-0.3377965
63,0.01354763,0.5339516,-0.3385194
64,0.01363286,0.5334921,-0.3394758
65,0.01374134,0.5329565,-0.3402983
66,0.01392993,0.532492,-0.3410111
67,0.013631,0.5314883,-0.3410206
68,0.01352276,0.5305414,-0.341288
69,0.01313409,0.5287448,-0.3413171
70,0.01280581,0.5270302,-0.3415465
71,0.01233115,0.5245687,-0.3419195
72,0.01165825,0.5223451,-0.342171
73,0.01087715,0.5200983,-0.3423261
74,0.01031473,0.5178266,-0.3424611
75,0.008905616,0.5158953,-0.3424145
76,0.007734206,0.5142583,-0.3422571
77,0.006656709,0.512858,-0.3420182
78,0.005563438,0.5112473,-0.3418232
79,0.004325437,0.509661,-0.3415066
80,0.002473123,0.5095409,-0.3405573
81,0.0005048588,0.5089947,-0.3398083
82,-0.001335107,0.5085298,-0.3390703
83,-0.003061339,0.5079812,-0.338305
84,-0.004941848,0.5075374,-0.3379024
85,-0.006802232,0.50713,-0.3372796
86,-0.008400042,0.5093819,-0.3368447
87,-0.01001732,0.5107679,-0.3357732
88,-0.01158917,0.5112249,-0.3352835
89,-0.01325025,0.5149648,-0.33465
90,-0.01493492,0.5177385,-0.3333451
91,-0.01655142,0.5202202,-0.3324634
92,-0.01769996,0.5205585,-0.3330015
93,-0.01859382,0.521644,-0.3332468
94,-0.01912465,0.5225792,-0.3337818
95,-0.01897742,0.5238128,-0.3341667
96,-0.01910233,0.5251639,-0.3346729
97,-0.01928055,0.5265177,-0.33552
98,-0.01935017,0.5279077,-0.3363745
99,-0.01922991,0.5295287,-0.3374337
100,-0.01900772,0.531836,-0.3382125
101,-0.01898762,0.5339187,-0.3388382
102,-0.01896195,0.5351877,-0.3400918
103,-0.01889712,0.5368947,-0.3410945
104,-0.01860728,0.5370392,-0.3431704
105,-0.01833493,0.5375119,-0.3446563
106,-0.01807436,0.5380917,-0.3460251
107,-0.01774028,0.5385818,-0.3472731
108,-0.01748285,0.5385213,-0.3482952
109,-0.01733979,0.5382409,-0.3492728
110,-0.01715766,0.5381055,-0.3503044
111,-0.01714838,0.5371489,-0.3510712
112,-0.01708672,0.5360902,-0.3517599
113,-0.01701782,0.5353042,-0.3525052
114,-0.01691323,0.5335813,-0.3526878
115,-0.016832,0.5322268,-0.3530906
116,-0.01679938,0.5303664,-0.3530241
117,-0.01681321,0.5283367,-0.3529383
118,-0.01673847,0.5262835,-0.352518
119,-0.0165946,0.5243876,-0.3521084
120,-0.01619685,0.5225222,-0.3516179
121,-0.0158779,0.5208687,-0.3510827
122,-0.01559506,0.519123,-0.3504429
123,-0.01531821,0.5172842,-0.3497764
124,-0.01471533,0.5174298,-0.3480849
125,-0.01408233,0.5169376,-0.3464057
126,-0.0134527,0.5164595,-0.3449889
127,-0.01278545,0.5159422,-0.3436781
128,-0.01223999,0.5154274,-0.3422816
